Date,Month,Year,State,Rural Arterial Miles,Urban Arterial Miles,All Miles,Rural Arterial Stations,Urban Arterial Stations,All Stations,Other Miles,Other Stations,Total VMT (Million),Year To Date VMT (Million),Moving 12-Month VMT (Million),VMT Change Rate(Monthly),VMT Change Rate (Annually),GDP in billions of current dollars,Monthly Labor Participation Rate,CPI,Inflation,Monthly Unemployment rate,Monthly Unemployment in tenth
1918-02-01,Feb,1918,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,17.500000000000004,0.0,0.0
1918-03-01,Mar,1918,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.666666666666675,0.0,0.0
1918-04-01,Apr,1918,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,12.698412698412698,0.0,0.0
1918-05-01,May,1918,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,13.28125,0.0,0.0
1918-06-01,Jun,1918,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,13.076923076923077,0.0,0.0
1918-07-01,Jul,1918,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,17.96875,0.0,0.0
1918-08-01,Aug,1918,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,18.461538461538463,0.0,0.0
1918-09-01,Sep,1918,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,18.045112781954884,0.0,0.0
1918-10-01,Oct,1918,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.518518518518512,0.0,0.0
1918-11-01,Nov,1918,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,20.740740740740748,0.0,0.0
1918-12-01,Dec,1918,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,20.43795620437956,0.0,0.0
1919-01-01,Jan,1919,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,17.85714285714286,0.0,0.0
1919-02-01,Feb,1919,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,14.893617021276585,0.0,0.0
1919-03-01,Mar,1919,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,17.142857142857125,0.0,0.0
1919-04-01,Apr,1919,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,17.6056338028169,0.0,0.0
1919-05-01,May,1919,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,16.551724137931025,0.0,0.0
1919-06-01,Jun,1919,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,14.965986394557817,0.0,0.0
1919-07-01,Jul,1919,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,15.231788079470189,0.0,0.0
1919-08-01,Aug,1919,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,14.935064935064934,0.0,0.0
